timestamp,panel_id,defect_type,severity,confidence,irradiation,ambient_temp_c,module_temp_c,dc_power_kw,ac_power_kw,efficiency_pct,panel_capacity_kw,panel_age_years
2024-01-01 11:48:00,maintenance01@solarfarm.com,Dusty,info,93.9,0.477,13.6,38.8,1.256,1.201,76.9,0.45,7.0
2024-01-02 07:24:00,green.energy.eg@gmail.com,Dusty,info,87.7,0.135,12.9,31.8,0.083,0.079,69.9,1.5,17.0
2024-01-02 07:42:00,reemya185@gmail.com,Dusty,info,87.0,0.141,16.7,35.6,0.092,0.088,74.5,0.6,9.0
2024-01-02 11:30:00,maintenance01@solarfarm.com,Dusty,info,92.0,0.494,12.1,35.8,1.43,1.352,83.6,0.4,6.0
2024-01-02 17:55:00,green.energy.eg@gmail.com,Bird-drop,warning,84.0,0.258,12.5,31.1,0.372,0.356,84.8,0.4,7.0
2024-01-03 17:04:00,inspector_m@yahoo.com,Dusty,info,83.3,0.263,12.6,33.7,0.348,0.327,76.4,0.72,14.0
2024-01-05 10:54:00,nora.renewables@hotmail.com,Clean,info,97.3,0.478,17.1,44.2,1.271,1.199,87.1,0.72,12.0
2024-01-06 07:19:00,nora.renewables@hotmail.com,Dusty,info,94.0,0.139,14.8,32.8,0.098,0.092,79.0,5.0,4.0
2024-01-06 13:44:00,pvtech.uae@gmail.com,Physical-damage,critical,88.1,0.584,14.4,39.9,1.324,1.258,62.0,1.5,5.0
2024-01-06 17:14:00,pvtech.uae@gmail.com,Bird-drop,warning,84.8,0.245,16.4,38.4,0.355,0.332,83.3,10.0,7.0
2024-01-08 09:33:00,fatima.pv@outlook.com,Electrical-damage,critical,89.6,0.328,12.7,36.7,0.359,0.339,44.5,0.72,5.0
2024-01-08 11:11:00,fatima.pv@outlook.com,Dusty,info,88.6,0.565,13.0,38.5,1.466,1.397,75.6,1.0,8.0
2024-01-08 14:18:00,green.energy.eg@gmail.com,Clean,info,93.2,0.475,12.1,38.1,1.473,1.407,90.5,1.5,5.0
2024-01-09 11:44:00,nora.renewables@hotmail.com,Clean,info,95.8,0.51,14.2,40.3,1.567,1.47,88.1,10.0,8.0
2024-01-09 11:44:00,fatima.pv@outlook.com,Clean,info,91.9,0.493,15.5,40.5,1.513,1.442,89.4,2.0,15.0
2024-01-10 12:02:00,pvtech.uae@gmail.com,Bird-drop,warning,91.7,0.558,14.6,39.2,1.613,1.541,79.5,2.0,12.0
2024-01-11 10:56:00,solarcheck.qa@gmail.com,Bird-drop,warning,82.5,0.495,14.0,37.0,1.183,1.129,79.2,1.0,4.0
2024-01-12 09:28:00,green.energy.eg@gmail.com,Clean,info,93.1,0.325,17.7,41.6,0.704,0.669,88.7,0.72,5.0
2024-01-12 15:42:00,inspector_m@yahoo.com,Snow-covered,warning,88.6,0.43,15.4,37.1,0.541,0.507,40.9,0.6,7.0
2024-01-13 08:24:00,inspector_m@yahoo.com,Bird-drop,warning,83.5,0.256,13.7,35.5,0.386,0.369,88.6,0.45,9.0
2024-01-14 07:37:00,pvtech.uae@gmail.com,Electrical-damage,critical,87.7,0.123,15.7,31.2,0.06,0.057,55.3,0.25,7.0
2024-01-14 10:16:00,maintenance01@solarfarm.com,Bird-drop,warning,86.5,0.473,14.7,39.4,1.136,1.072,78.7,0.72,5.0
2024-01-14 15:29:00,nora.renewables@hotmail.com,Dusty,info,88.5,0.457,12.3,35.1,1.135,1.059,80.4,5.0,6.0
2024-01-15 15:54:00,reemya185@gmail.com,Dusty,info,92.0,0.474,16.0,39.1,1.014,0.971,71.1,0.25,5.0
2024-01-16 15:50:00,solar.ops.ksa@gmail.com,Physical-damage,critical,89.9,0.448,14.1,38.6,0.555,0.519,40.2,3.0,13.0
2024-01-18 17:49:00,ahmed.solar@gmail.com,Bird-drop,warning,93.0,0.266,15.8,34.4,0.402,0.375,86.7,0.72,10.0
2024-01-19 09:20:00,nora.renewables@hotmail.com,Clean,info,96.5,0.328,14.1,35.0,0.731,0.701,92.1,2.0,7.0
2024-01-19 14:41:00,reemya185@gmail.com,Dusty,info,88.8,0.47,15.9,38.5,1.13,1.071,69.6,0.6,10.0
2024-01-23 12:52:00,fatima.pv@outlook.com,Clean,info,89.8,0.468,12.4,36.6,1.551,1.485,91.3,0.4,8.0
