timestamp,date,hour,panel_id,irradiation,ambient_temp_c,module_temp_c,dc_power_kw,ac_power_kw,defect_type,efficiency_pct,confidence,severity,source,panel_capacity_kw,panel_age_years
2024-01-01 11:48:00,2024-01-01,11,maintenance01@solarfarm.com,0.477,13.6,38.8,1.256,1.201,Dusty,76.9,93.9,info,scan,0.45,7
2024-01-02 07:24:00,2024-01-02,7,green.energy.eg@gmail.com,0.135,12.9,31.8,0.083,0.079,Dusty,69.9,87.7,info,scan,1.5,17
2024-01-02 07:42:00,2024-01-02,7,reemya185@gmail.com,0.141,16.7,35.6,0.092,0.088,Dusty,74.5,87.0,info,scan,0.6,9
2024-01-02 11:30:00,2024-01-02,11,maintenance01@solarfarm.com,0.494,12.1,35.8,1.43,1.352,Dusty,83.6,92.0,info,scan,0.4,6
2024-01-02 17:55:00,2024-01-02,17,green.energy.eg@gmail.com,0.258,12.5,31.1,0.372,0.356,Bird-drop,84.8,84.0,warning,scan,0.4,7
2024-01-03 17:04:00,2024-01-03,17,inspector_m@yahoo.com,0.263,12.6,33.7,0.348,0.327,Dusty,76.4,83.3,info,scan,0.72,14
2024-01-05 10:54:00,2024-01-05,10,nora.renewables@hotmail.com,0.478,17.1,44.2,1.271,1.199,Clean,87.1,97.3,info,scan,0.72,12
2024-01-06 07:19:00,2024-01-06,7,nora.renewables@hotmail.com,0.139,14.8,32.8,0.098,0.092,Dusty,79.0,94.0,info,scan,5.0,4
2024-01-06 13:44:00,2024-01-06,13,pvtech.uae@gmail.com,0.584,14.4,39.9,1.324,1.258,Physical-damage,62.0,88.1,critical,scan,1.5,5
2024-01-06 17:14:00,2024-01-06,17,pvtech.uae@gmail.com,0.245,16.4,38.4,0.355,0.332,Bird-drop,83.3,84.8,warning,scan,10.0,7
2024-01-08 09:33:00,2024-01-08,9,fatima.pv@outlook.com,0.328,12.7,36.7,0.359,0.339,Electrical-damage,44.5,89.6,critical,scan,0.72,5
2024-01-08 11:11:00,2024-01-08,11,fatima.pv@outlook.com,0.565,13.0,38.5,1.466,1.397,Dusty,75.6,88.6,info,scan,1.0,8
2024-01-08 14:18:00,2024-01-08,14,green.energy.eg@gmail.com,0.475,12.1,38.1,1.473,1.407,Clean,90.5,93.2,info,scan,1.5,5
2024-01-09 11:44:00,2024-01-09,11,nora.renewables@hotmail.com,0.51,14.2,40.3,1.567,1.47,Clean,88.1,95.8,info,scan,10.0,8
2024-01-09 11:44:00,2024-01-09,11,fatima.pv@outlook.com,0.493,15.5,40.5,1.513,1.442,Clean,89.4,91.9,info,scan,2.0,15
2024-01-10 12:02:00,2024-01-10,12,pvtech.uae@gmail.com,0.558,14.6,39.2,1.613,1.541,Bird-drop,79.5,91.7,warning,scan,2.0,12
2024-01-11 10:56:00,2024-01-11,10,solarcheck.qa@gmail.com,0.495,14.0,37.0,1.183,1.129,Bird-drop,79.2,82.5,warning,scan,1.0,4
2024-01-12 09:28:00,2024-01-12,9,green.energy.eg@gmail.com,0.325,17.7,41.6,0.704,0.669,Clean,88.7,93.1,info,scan,0.72,5
2024-01-12 15:42:00,2024-01-12,15,inspector_m@yahoo.com,0.43,15.4,37.1,0.541,0.507,Snow-covered,40.9,88.6,warning,scan,0.6,7
2024-01-13 08:24:00,2024-01-13,8,inspector_m@yahoo.com,0.256,13.7,35.5,0.386,0.369,Bird-drop,88.6,83.5,warning,scan,0.45,9
2024-01-14 07:37:00,2024-01-14,7,pvtech.uae@gmail.com,0.123,15.7,31.2,0.06,0.057,Electrical-damage,55.3,87.7,critical,scan,0.25,7
2024-01-14 10:16:00,2024-01-14,10,maintenance01@solarfarm.com,0.473,14.7,39.4,1.136,1.072,Bird-drop,78.7,86.5,warning,scan,0.72,5
2024-01-14 15:29:00,2024-01-14,15,nora.renewables@hotmail.com,0.457,12.3,35.1,1.135,1.059,Dusty,80.4,88.5,info,scan,5.0,6
2024-01-15 15:54:00,2024-01-15,15,reemya185@gmail.com,0.474,16.0,39.1,1.014,0.971,Dusty,71.1,92.0,info,scan,0.25,5
2024-01-16 15:50:00,2024-01-16,15,solar.ops.ksa@gmail.com,0.448,14.1,38.6,0.555,0.519,Physical-damage,40.2,89.9,critical,scan,3.0,13
2024-01-18 17:49:00,2024-01-18,17,ahmed.solar@gmail.com,0.266,15.8,34.4,0.402,0.375,Bird-drop,86.7,93.0,warning,scan,0.72,10
2024-01-19 09:20:00,2024-01-19,9,nora.renewables@hotmail.com,0.328,14.1,35.0,0.731,0.701,Clean,92.1,96.5,info,scan,2.0,7
2024-01-19 14:41:00,2024-01-19,14,reemya185@gmail.com,0.47,15.9,38.5,1.13,1.071,Dusty,69.6,88.8,info,scan,0.6,10
2024-01-23 12:52:00,2024-01-23,12,fatima.pv@outlook.com,0.468,12.4,36.6,1.551,1.485,Clean,91.3,89.8,info,scan,0.4,8
2024-01-24 18:15:00,2024-01-24,18,fatima.pv@outlook.com,0.134,13.9,34.0,0.064,0.061,Physical-damage,54.3,92.8,critical,scan,5.0,8
2024-01-25 10:13:00,2024-01-25,10,solarcheck.qa@gmail.com,0.391,17.2,42.1,1.049,1.007,Clean,89.4,92.4,info,scan,5.0,6
2024-01-26 08:59:00,2024-01-26,8,pvtech.uae@gmail.com,0.269,13.5,32.4,0.205,0.195,Physical-damage,44.6,88.4,critical,scan,0.5,8
2024-01-26 12:50:00,2024-01-26,12,solar.ops.ksa@gmail.com,0.48,16.2,41.6,1.557,1.489,Clean,89.3,88.5,info,scan,1.0,19
2024-01-27 14:00:00,2024-01-27,14,inspector_m@yahoo.com,0.469,14.9,40.8,1.228,1.16,Dusty,75.6,89.8,info,scan,1.0,11
2024-01-28 11:10:00,2024-01-28,11,reemya185@gmail.com,0.446,15.1,36.5,1.204,1.149,Bird-drop,78.7,87.3,warning,scan,0.72,12
2024-01-29 12:19:00,2024-01-29,12,solar.ops.ksa@gmail.com,0.515,15.8,41.1,1.674,1.6,Clean,89.4,91.3,info,scan,0.5,4
2024-01-31 18:12:00,2024-01-31,18,maintenance01@solarfarm.com,0.125,17.0,33.4,0.101,0.096,Clean,91.7,94.2,info,scan,0.25,8
2024-02-01 18:30:00,2024-02-01,18,inspector_m@yahoo.com,0.129,16.4,32.8,0.097,0.092,Bird-drop,85.1,89.5,warning,scan,3.0,6
2024-02-02 13:05:00,2024-02-02,13,inspector_m@yahoo.com,0.666,15.4,44.2,0.936,0.878,Electrical-damage,37.9,97.3,critical,scan,8.0,4
2024-02-02 17:52:00,2024-02-02,17,ahmed.solar@gmail.com,0.31,17.8,38.4,0.381,0.359,Dusty,71.2,87.0,info,scan,0.25,7
2024-02-03 11:12:00,2024-02-03,11,solar.ops.ksa@gmail.com,0.544,15.4,42.9,1.653,1.552,Clean,87.2,96.7,info,scan,0.33,3
2024-02-04 09:06:00,2024-02-04,9,reemya185@gmail.com,0.43,14.6,39.9,0.757,0.717,Dusty,71.8,85.0,info,scan,1.0,5
2024-02-05 16:36:00,2024-02-05,16,pvtech.uae@gmail.com,0.435,15.7,41.8,0.191,0.178,Snow-covered,17.6,86.3,warning,scan,1.5,11
2024-02-06 07:56:00,2024-02-06,7,solarcheck.qa@gmail.com,0.163,19.6,35.8,0.069,0.065,Electrical-damage,47.6,88.5,critical,scan,10.0,10
2024-02-06 15:17:00,2024-02-06,15,inspector_m@yahoo.com,0.534,18.4,43.3,1.426,1.329,Clean,86.4,96.1,info,scan,0.6,10
2024-02-06 16:50:00,2024-02-06,16,solarcheck.qa@gmail.com,0.399,14.2,37.4,0.683,0.655,Dusty,70.7,95.2,info,scan,0.45,3
2024-02-07 10:27:00,2024-02-07,10,inspector_m@yahoo.com,0.435,16.5,39.1,0.968,0.915,Dusty,73.0,81.8,info,scan,10.0,5
2024-02-07 16:51:00,2024-02-07,16,inspector_m@yahoo.com,0.362,16.5,41.1,0.739,0.696,Bird-drop,82.8,85.6,warning,scan,1.5,2
2024-02-07 17:42:00,2024-02-07,17,ahmed.solar@gmail.com,0.289,15.8,34.8,0.452,0.429,Clean,91.3,88.8,info,scan,0.72,4
2024-02-14 17:38:00,2024-02-14,17,reemya185@gmail.com,0.289,14.1,32.9,0.278,0.264,Electrical-damage,56.2,98.2,critical,scan,0.4,4
2024-02-14 18:52:00,2024-02-14,18,reemya185@gmail.com,0.143,14.4,33.3,0.116,0.111,Clean,92.7,88.9,info,scan,0.4,17
2024-02-15 12:51:00,2024-02-15,12,nora.renewables@hotmail.com,0.668,15.1,40.5,2.04,1.943,Dusty,83.7,88.0,info,scan,1.0,14
2024-02-16 15:07:00,2024-02-16,15,pvtech.uae@gmail.com,0.512,14.8,41.5,1.377,1.308,Clean,88.7,90.2,info,scan,0.4,5
2024-02-18 13:41:00,2024-02-18,13,green.energy.eg@gmail.com,0.593,14.7,44.3,1.901,1.816,Clean,88.1,95.9,info,scan,0.25,5
2024-02-19 13:56:00,2024-02-19,13,green.energy.eg@gmail.com,0.616,17.1,46.7,0.74,0.7,Snow-covered,32.7,87.1,warning,scan,0.3,17
2024-02-19 14:59:00,2024-02-19,14,green.energy.eg@gmail.com,0.595,14.4,43.1,1.563,1.456,Dusty,74.8,89.0,info,scan,0.25,8
2024-02-20 17:18:00,2024-02-20,17,solar.ops.ksa@gmail.com,0.31,18.3,40.1,0.301,0.288,Physical-damage,57.1,93.6,critical,scan,0.25,6
